player_registry_id,cricsheet_player_id,canonical_name,current_player_role,current_batting_style,current_bowling_style,current_bowling_type_group,batting_hand,bowling_arm,bowling_style,bowling_type_group,player_role,confidence,notes
28049,pulse:1745,Shardul Thakur,all_rounder,"","","","","","","",all_rounder,1.0,""
28036,pulse:5396,Sherfane Rutherford,batter,"","","","","","","",batter,1.0,""
28034,pulse:108,Surya Kumar Yadav,batter,"","","","","","","",batter,1.0,""
28050,pulse:969,Trent Boult,bowler,"","","","","","","",bowler,1.0,""
28048,pulse:5629,Will Jacks,all_rounder,"","","","","","","",all_rounder,1.0,""
28075,pulse:4698,Arshdeep Singh,bowler,"","","","","","","",bowler,1.0,""
28068,pulse:20685,Azmatullah Omarzai,all_rounder,"","","","","","","",all_rounder,1.0,""
28074,pulse:1478,Ben Dwarshuis,all_rounder,"","","","","","","",all_rounder,1.0,""
28073,pulse:23052,Cooper Connolly,all_rounder,"","","","","","","",all_rounder,1.0,""
28061,pulse:22019,Harnoor Pannu,batter,"","","","","","","",batter,1.0,""
28066,pulse:5441,Harpreet Brar,all_rounder,"","","","","","","",all_rounder,1.0,""
28082,pulse:3729,Lockie Ferguson,bowler,"","","","","","","",bowler,1.0,""
28067,pulse:17068,Marco Jansen,all_rounder,"","","","","","","",all_rounder,1.0,""
28065,pulse:964,Marcus Stoinis,all_rounder,"","","","","","","",all_rounder,1.0,""
28072,pulse:22380,Mitch Owen,all_rounder,"","","","","","","",all_rounder,1.0,""
28070,pulse:22085,Musheer Khan,all_rounder,"","","","","","","",all_rounder,1.0,""
28059,pulse:5859,Nehal Wadhera,batter,"","","","","","","",batter,1.0,""
28063,pulse:5436,Prabhsimran Singh,batter,"","","","","","","",batter,1.0,""
28080,pulse:3188,Pravin Dubey,bowler,"","","","","","","",bowler,1.0,""
28069,pulse:22052,Priyansh Arya,all_rounder,"","","","","","","",all_rounder,1.0,""
28062,pulse:22145,Pyla Avinash,batter,"","","","","","","",batter,1.0,""
28064,pulse:3261,Shashank Singh,batter,"","","","","","","",batter,1.0,""
28058,pulse:1563,Shreyas Iyer,batter,"","","","","","","",batter,1.0,""
28071,pulse:20683,Suryansh Shedge,all_rounder,"","","","","","","",all_rounder,1.0,""
28081,pulse:23088,Vishal Nishad,bowler,"","","","","","","",bowler,1.0,""
28060,pulse:4305,Vishnu Vinod,batter,"","","","","","","",batter,1.0,""
28077,pulse:1097,Vyshak Vijaykumar,bowler,"","","","","","","",bowler,1.0,""
28079,pulse:22112,Xavier Bartlett,bowler,"","","","","","","",bowler,1.0,""
28078,pulse:5624,Yash Thakur,bowler,"","","","","","","",bowler,1.0,""
28076,pulse:111,Yuzvendra Chahal,bowler,"","","","","","","",bowler,1.0,""
28104,pulse:434,Adam Milne,bowler,"","","","","","","",bowler,1.0,""
28088,pulse:23034,Aman Rao Perala,batter,"","","","","","","",batter,1.0,""
28103,pulse:23164,Brijesh Sharma,bowler,"","","","","","","",bowler,1.0,""
28095,pulse:1095,Dasun Shanaka,all_rounder,"","","","","","","",all_rounder,1.0,""
28091,pulse:20620,Dhruv Jurel,batter,"","","","","","","",batter,1.0,""
28085,pulse:5652,Donovan Ferreira,batter,"","","","","","","",batter,1.0,""
28096,pulse:3502,Jofra Archer,bowler,"","","","","","","",bowler,1.0,""
28105,pulse:20616,Kuldeep Sen,bowler,"","","","","","","",bowler,1.0,""
28098,pulse:20724,Kwena Maphaka,bowler,"","","","","","","",bowler,1.0,""
28086,pulse:22383,Lhuan-dre Pretorious,batter,"","","","","","","",batter,1.0,""
28107,pulse:20716,Nandre Burger,bowler,"","","","","","","",bowler,1.0,""
28099,pulse:19351,Ravi Bishnoi,bowler,"","","","","","","",bowler,1.0,""
28087,pulse:23044,Ravi Singh,batter,"","","","","","","",batter,1.0,""
28094,pulse:9,Ravindra Jadeja,all_rounder,"","","","","","","",all_rounder,1.0,""
28092,pulse:4445,Riyan Parag,all_rounder,"","","","","","","",all_rounder,1.0,""
28106,pulse:1112,Sandeep Sharma,bowler,"","","","","","","",bowler,1.0,""
28089,pulse:1705,Shimron Hetmyer,batter,"","","","","","","",batter,1.0,""
28083,pulse:20688,Shubham Dubey,batter,"","","","","","","",batter,1.0,""
28100,pulse:20695,Sushant Mishra,bowler,"","","","","","","",bowler,1.0,""
28097,pulse:3257,Tushar Deshpande,bowler,"","","","","","","",bowler,1.0,""
28084,pulse:22203,Vaibhav Sooryavanshi,batter,"","","","","","","",batter,1.0,""
28102,pulse:22266,Vignesh Puthur,bowler,"","","","","","","",bowler,1.0,""
28101,pulse:23016,Yash Raj Punja,bowler,"","","","","","","",bowler,1.0,""
28090,pulse:13538,Yashasvi Jaiswal,batter,"","","","","","","",batter,1.0,""
28093,pulse:10842,Yudhvir Singh Charak,all_rounder,"","","","","","","",all_rounder,1.0,""
28130,pulse:22136,Abhinandan Singh,bowler,"","","","","","","",bowler,1.0,""
28128,pulse:116,Bhuvneshwar Kumar,bowler,"","","","","","","",bowler,1.0,""
28109,pulse:5430,Devdutt Padikkal,batter,"","","","","","","",batter,1.0,""
28118,pulse:22074,Jacob Bethell,all_rounder,"","","","","","","",all_rounder,1.0,""
28131,pulse:23003,Jacob Duffy,bowler,"","","","","","","",bowler,1.0,""
28112,pulse:3185,Jitesh Sharma,batter,"","","","","","","",batter,1.0,""
28113,pulse:23023,Jordan Cox,batter,"","","","","","","",batter,1.0,""
28125,pulse:857,Josh Hazlewood,bowler,"","","","","","","",bowler,1.0,""
28124,pulse:23168,Kanishk Chouhan,all_rounder,"","","","","","","",all_rounder,1.0,""
28114,pulse:3183,Krunal Pandya,all_rounder,"","","","","","","",all_rounder,1.0,""
